mat_size,memory,performance,info,permutation,optimization
30,21.094,3908.761,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native']"
75,131.836,5339.404,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native']"
200,937.5,6605.061,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native']"
1200,33750.0,6542.766,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native']"
30,21.094,1438.65,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
75,131.836,1544.263,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
200,937.5,1017.298,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
1200,33750.0,430.747,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
30,21.094,1145.609,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
75,131.836,1124.334,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
200,937.5,911.493,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
1200,33750.0,873.899,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
30,21.094,1460.802,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
75,131.836,1554.281,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
200,937.5,995.787,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
